Tweet,Sentimen,Emosi
"Cegah mata rantai Covid-19,mari kita dirumah saja hingga hari Minggu.....",1,1
aku mohon yaAllah semoga wabah covid-19 menghilang sebelum ramadhan datang ,1,-1
Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid-19. OPM,1,1
Covid belum nyampe prigen mbak hmm hoax,0,-2
"Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid 19 lol. Mikir !!!!",-1,-2
Pikir2 balik byk mnde plk nk setelkn lepas covid.,0,1
"Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid-19. Semoga kita semua dikasih kesehatan. Aamiin.",1,-1
"Hikmah di balik musibah covid-19, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas2 melukai kepentingan rakyat.",1,-2
Cegah covid-19 beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (9/4)Febriputraguci,1,1
Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah,1,-1
"Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020",1,2
Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |,1,2
"Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM",1,-1
"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan",1,-2
Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA,1,2
"Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?",1,1
"Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM",1,1
"Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.",1,-2
Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via,1,1
"Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL",-1,-2
Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19,1,1
"Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...",-1,2
Profil Operasional Bandara AP II di Tengah Pandemi COVID-19,0,1
"Btw long weekend ni pada mau kemana... Dulu sebelum ada nya si covid 19 ini long weekend itu yang paling di nanti .., eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae (DASAR AKU)",0,-1
Hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid-19 kemana ya?,1,-2
"Hei guys, gw mau ngajak kalian untuk agar pandemik covid-19 ini lekas hilang. Aamiin.Gimana?? Kurangin dah tuh nongki2, halan2, atau segala aktivitas diluar ruangan. Yuk belajar utbk aja, tau sendirikan pesaing lo tuh buanyak banget. Yok ",1,1
JANGAN ADA DUSTA DIANTARA KITA: Kisah Pilu Dokter Menangani Pasien Yang Ternyata Positif Covid-19,1,-1
COVID-19 Telah Bermutasi? Ada Gelombang Kedua Virus Corona,-1,1
Salam Jumaat.. Ya Allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik.. Jauhilah kami dari segala penyakit berjangkit covid 19 dan hamba mu yang sedang berjuang kesakitan yang berada di hospital..,1,-1
Saya kuatir test Covid-19 belum menyeluruh Tau2 nanti ada korban tergeletak mati suspek corona Ngeri,1,-1
Ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah .yalord,0,-2
"Berarti dah lama gak gitaran, mungkin mau bikin album lagu buat Corona Covid Yudhoyono.",-1,-1
